Hooke,40,17028043,17031525 17029876 17030221 17029953 17029609 17029614,64,1525851651,Arecibo message,story,https://en.wikipedia.org/wiki/Arecibo_message
el_duderino,71,17029913,17031769 17031064 17030614 17032914 17033883 17031723 17030311 17031311,134,1525874837,Think You’ve Got Your Credit Freezes Covered? Think Again,story,https://krebsonsecurity.com/2018/05/think-youve-got-your-credit-freezes-covered-think-again/
tarboreus,12,17032885,17034152 17034526 17034121 17033675 17034289 17033693 17032927 17034418,40,1525893003,The Many Uses of Org Mode,story,https://robots.thoughtbot.com/the-many-uses-of-org-mode
joddystreet,18,17029004,17030740 17030572 17030587 17030940 17030277 17030209 17031003 17031023 17030621 17030330 17030014,238,1525865513,Understanding Machine Learning: From Theory to Algorithms,story,http://www.cs.huji.ac.il/~shais/UnderstandingMachineLearning/
john58,2,17033767,17034674,8,1525897984,Roku's active accounts grew 47% to 20.8M;streaming hours surged 56%,story,https://news.alphastreet.com/roku-reports-narrower-net-loss-in-first-quarter/
noeatnosleep,10,17031009,17032007 17032300 17031591 17032294,67,1525882449,Malware Wallet ‘Electrum Pro’ Stealing Seed Keys,story,https://blockexplorer.com/news/electrum-pro-steals-seeds/
ksec,66,17028524,17028726 17030100 17028778 17029686 17029262 17028668,121,1525858571,Qualcomm Plans Exit From Server Chips,story,https://www.bloomberg.com/news/articles/2018-05-07/qualcomm-is-said-to-plan-exit-from-server-chips-amid-cost-cuts
bko,11,17029430,17030098 17031292 17030713 17030585 17030180,90,1525870989,Show HN: Offline Object Detection and Tracking on a Raspberry Pi,story,https://medium.com/ml-everything/offline-object-detection-and-tracking-on-a-raspberry-pi-fddb3bde130
Thevet,7,17017733,17032378 17032665 17030289 17029897,50,1525739285,Who is Losing the Nile?,story,"https://orientxxi.info/magazine/who-is-losing-the-nile,2276"
lleddell,108,17032264,17032722 17032739 17032581 17033686 17034552 17032855 17032755 17033208 17034492 17032788 17034037 17034203 17034349 17033371 17032972 17033380 17034398 17033426 17032689 17032834 17033221 17034363 17032811 17033231 17033119 17033053,127,1525889382,"No Thanks, Google. I'll Speak for Myself",story,"https://www.tomshardware.com/news/google-duplex-stealing-voices,37031.html"
Rescis,37,17026822,17027965 17029324 17027197 17027963 17027096 17027435 17029685 17027805 17027020,276,1525829754,A Short Introduction to the Art of Programming (1971) [pdf],story,https://www.cs.utexas.edu/users/EWD/ewd03xx/EWD316.PDF
kapv89,4,17032862,17033116 17032977 17033037,20,1525892868,The Paved PaaS To NodeJS Microservices at Netflix [video],story,https://www.youtube.com/watch?v=QcNqfvMeWow
ayanai,2,17034072,17034207,6,1525899911,"Man Forbidden from Identifying Twitter Shaming Activist,Court Order Seems to Say",story,https://reason.com/volokh/2018/05/08/minnesota-court-apparently-orders-man-no
